name,quantity,link,price dollar,use
Small Active Electromagnetic Buzzer,1,https://makerbazar.in/products/small-active-buzzer,0.13,to warn
18650 SMD/SMT Battery Holder Case,1,https://makerbazar.in/products/high-quality-18650-smd-smt-battery-holder-case,0.41,to hold and connect the battery
18650 Li-Ion Rechargeable Cell,1,https://makerbazar.in/products/18650-3-7v-lithium-ion-rechargeable-cell-good-quality,0.62,power the circute
12x12mm Tactile Push Button DIP Switch,1,https://makerbazar.in/products/tactile-push-button?variant=47433066152176,0.074,turn it on or off
3-Pin DIP Mini Slide Switch,1,https://makerbazar.in/products/3-pin-dip-mini-slide-switch-through-hole-pcb-slide-button?variant=46800235823344,0.074,for reset
bc547 transistor,1,https://makerbazar.in/products/bcxxx-general-purpose-transistors-to92?variant=46255877226736,0.20,electricaly control switch
Female Berg Strip 2.54mm Straight Header Pin,3,https://makerbazar.in/products/female-berg-strip-2-54mm-header-pin?variant=46822716735728,0.090,connect the touch sensore
Touch Sensor Switch Module,1,https://makerbazar.in/products/capacitive-touch-sensor-switch-module?variant=48251073593584,0.095,the main sensore
10k Carbon Film Resistor DIP,1,https://makerbazar.in/products/carbon-film-resistor-dip-1-4-watt-resistance-through-hole-1k-to-99kohm?variant=47248529621232,0.16,to limit the current and voltage
1k Carbon Film Resistor DIP,1,https://makerbazar.in/products/carbon-film-resistor-dip-1-4-watt-resistance-through-hole-1k-to-99kohm?variant=47248529621232,0.16,to limit the current and voltage
custome pcb,1,https://cart.jlcpcb.com/shopcart/cart,2,connect all components
